0,,1,2,,3,4,,5,6,,7,8,,9,10,,11,12,,13,14,,15,16,,17,18,,19,20,,21,22,,23,24,,25,26,,27,28,,29,30,,31,32,,33,34,,35,36,,37,38,,39,40,,41,42,,43,44,,45,46,,47,48,,49
85.8,1,0.0129,196.45,1,0.0366,27.71,1,0.0154,75,1,0.0077,35.67,1,0.0088,42.28,1,0.0163,61.18,1,0.0129,35.71,1,0.0303,63.94,1,0.0156,14.26,0,-0.0166,38.995,1,0.0093,107.35,1,0.0013,67.04,0,-0.0127,63.6,1,0.0078,27.68,0,-0.0029,88.23,1,0.0041,11.7,1,0.0086,26.96,1,0.009,24.32,1,0.0189,39.66,1,0.0211,34.08,1,0.005,4.5,1,0.0297,4.29,1,0.0263,72.9,1,0.0055,68.76,0,-0.0078
84.51,0,-0.015,187.12,0,-0.0475,27.57,0,-0.0051,72.64,0,-0.0315,35.47,0,-0.0056,41.88,0,-0.0095,60.26,0,-0.015,34.57,0,-0.0319,64.11,1,0.0027,13.33,0,-0.0652,38.77,0,-0.0058,106.52,0,-0.0077,67.13,1,0.0013,63.71,1,0.0017,27.1,0,-0.021,87.73,0,-0.0057,11.43,0,-0.0231,27.025,1,0.0024,23.42,0,-0.037,39.18,0,-0.0121,33.85,0,-0.0067,4.44,0,-0.0133,4.25,0,-0.0093,72.94,1,0.0005,69.21,1,0.0065
83.43,0,-0.0128,187.15,1,0.0002,27.41,0,-0.0058,72.09,0,-0.0076,35.43,0,-0.0011,41.54,0,-0.0081,57.68,0,-0.0428,34.38,0,-0.0055,64.05,0,-0.0009,13.37,1,0.003,38.34,0,-0.0111,105.46,0,-0.01,68,1,0.013,63.03,0,-0.0107,26.51,0,-0.0218,87.56,0,-0.0019,11.45,1,0.0017,26.82,0,-0.0076,22.83,0,-0.0252,38.78,0,-0.0102,33.77,0,-0.0024,4.39,0,-0.0113,4.24,0,-0.0024,72.53,0,-0.0056,70.26,1,0.0152
83.61,1,0.0022,179.86,0,-0.039,27.38,0,-0.0011,72.95,1,0.0119,35.68,1,0.0071,42.45,1,0.0219,59.32,1,0.0284,34.71,1,0.0096,64.6,1,0.0086,13.57,1,0.015,38.55,1,0.0055,106.27,1,0.0077,69.97,1,0.029,63.31,1,0.0044,27.11,1,0.0226,88.12,1,0.0064,11.6,1,0.0131,26.77,0,-0.0019,23.58,1,0.0329,39.42,1,0.0165,33.88,1,0.0033,4.45,1,0.0137,4.29,1,0.0118,72.75,1,0.003,70.4,1,0.002
82.13,0,-0.0177,179.32,0,-0.003,26.84,0,-0.0197,71.6,0,-0.0185,35.19,0,-0.0137,42.09,0,-0.0085,56.98,0,-0.0394,32.94,0,-0.051,63.19,0,-0.0218,13.02,0,-0.0405,38.11,0,-0.0114,104.01,0,-0.0213,69.57,0,-0.0057,61.78,0,-0.0242,26.33,0,-0.0288,87.88,0,-0.0027,11.32,0,-0.0241,26.49,0,-0.0105,22.03,0,-0.0657,38.32,0,-0.0279,33.34,0,-0.0159,4.32,0,-0.0292,4.26,0,-0.007,72.19,0,-0.0077,70.44,1,0.0006
81.78,0,-0.0043,184.09,1,0.0266,27.03,1,0.0071,73.24,1,0.0229,35.49,1,0.0085,42.25,1,0.0038,56.84,0,-0.0025,32.86,0,-0.0024,63.31,1,0.0019,13.26,1,0.0184,38.59,1,0.0126,104.2,1,0.0018,69.75,1,0.0026,62.33,1,0.0089,26.83,1,0.019,87.3,0,-0.0066,11.4,1,0.0071,26.95,1,0.0174,22.44,1,0.0186,38.37,1,0.0013,33.79,1,0.0135,4.38,1,0.0139,4.16,0,-0.0235,72.27,1,0.0011,71.11,1,0.0095
82.23,1,0.0055,184.32,1,0.0012,27.41,1,0.0141,74.25,1,0.0138,35.85,1,0.0101,42.89,1,0.0151,58.2,1,0.0239,33.42,1,0.017,64.01,1,0.0111,13.41,1,0.0113,39.6,1,0.0262,103.9,0,-0.0029,70.38,1,0.009,63.93,1,0.0257,27.4,1,0.0212,88.33,1,0.0118,11.82,1,0.0368,27.57,1,0.023,22.9,1,0.0205,38.65,1,0.0073,34.03,1,0.0071,4.38,0,0,4.03,0,-0.0313,71.94,0,-0.0046,71.66,1,0.0077
82.33,1,0.0012,188.08,1,0.0204,27.37,0,-0.0015,73.8,0,-0.0061,35.91,1,0.0017,42.72,0,-0.004,58.62,1,0.0072,33.5,1,0.0024,64.14,1,0.002,13.43,1,0.0015,39.31,0,-0.0073,103.88,0,-0.0002,69.8,0,-0.0082,64.1,1,0.0027,27.15,0,-0.0091,88,0,-0.0037,11.7,0,-0.0102,27.64,1,0.0025,22.55,0,-0.0153,38.94,1,0.0075,33.98,0,-0.0015,4.39,1,0.0023,4.14,1,0.0273,71.87,0,-0.001,70.78,0,-0.0123
82.65,1,0.0039,189.37,1,0.0069,27.39,1,0.0007,74.78,1,0.0133,36.01,1,0.0028,43.45,1,0.0171,59.69,1,0.0183,32.89,0,-0.0182,64.62,1,0.0075,13.61,1,0.0134,39.83,1,0.0132,103.52,0,-0.0035,70.14,1,0.0049,64.47,1,0.0058,27.21,1,0.0022,88.17,1,0.0019,11.82,1,0.0103,27.81,1,0.0062,22.43,0,-0.0053,39.29,1,0.009,34.01,1,0.0009,4.32,0,-0.0159,4.14,0,0,72.36,1,0.0068,71.74,1,0.0136
81.64,0,-0.0122,181.21,0,-0.0431,27.69,1,0.011,75.33,1,0.0074,36.23,1,0.0061,43.87,1,0.0097,60.44,1,0.0126,32.37,0,-0.0158,65.43,1,0.0125,13.9,1,0.0213,40.46,1,0.0158,104.47,1,0.0092,70.97,1,0.0118,64.89,1,0.0065,27.09,0,-0.0044,87.1,0,-0.0121,12.04,1,0.0186,28.275,1,0.0167,22.6,1,0.0076,39.81,1,0.0132,34.28,1,0.0079,4.35,1,0.0069,4.19,1,0.0121,73.59,1,0.017,73.26,1,0.0212
82.45,1,0.0099,181.73,1,0.0029,28.07,1,0.0137,76.43,1,0.0146,36.6,1,0.0102,45.02,1,0.0262,60.77,1,0.0055,32.54,1,0.0053,65.56,1,0.002,14.05,1,0.0108,41.46,1,0.0247,105.25,1,0.0075,71.6,1,0.0089,65.85,1,0.0148,27.58,1,0.0181,87.81,1,0.0082,12.11,1,0.0058,28.51,1,0.0083,22.74,1,0.0062,40.03,1,0.0055,33.81,0,-0.0137,4.4,1,0.0115,4.17,0,-0.0048,73.88,1,0.0039,73.72,1,0.0063
81.89,0,-0.0068,182.94,1,0.0067,28.12,1,0.0018,76.67,1,0.0031,36.29,0,-0.0085,45.4,1,0.0084,62.52,1,0.0288,32.75,1,0.0065,65.5,0,-0.0009,14.57,1,0.037,41.29,0,-0.0041,104.83,0,-0.004,72.13,1,0.0074,65.92,1,0.0011,27.91,1,0.012,88.36,1,0.0063,12.05,0,-0.005,28.52,1,0.0004,22.91,1,0.0075,39.85,0,-0.0045,33.74,0,-0.0021,4.44,1,0.0091,4.16,0,-0.0024,74.17,1,0.0039,73.38,0,-0.0046
81.69,0,-0.0024,181.56,0,-0.0075,28.27,1,0.0053,76.49,0,-0.0023,36.39,1,0.0028,44.95,0,-0.0099,62.13,0,-0.0062,33.34,1,0.018,65.16,0,-0.0052,14.82,1,0.0172,41.5,1,0.0051,103.83,0,-0.0095,72.08,0,-0.0007,65.9,0,-0.0003,27.88,0,-0.0011,88.79,1,0.0049,12.09,1,0.0033,28.55,1,0.0011,23.22,1,0.0135,39.45,0,-0.01,34.15,1,0.0122,4.45,1,0.0023,4.2,1,0.0096,73.94,0,-0.0031,73.32,0,-0.0008
82.4,1,0.0087,184.7,1,0.0173,28.19,0,-0.0028,77.04,1,0.0072,36.68,1,0.008,45.43,1,0.0107,63.6,1,0.0237,33.51,1,0.0051,65.34,1,0.0028,14.92,1,0.0067,41.5,0,0,102.89,0,-0.0091,71.79,0,-0.004,65.7,0,-0.003,28,1,0.0043,89.99,1,0.0135,12.26,1,0.0141,28.58,1,0.0011,23.03,0,-0.0082,39.21,0,-0.0061,34.23,1,0.0023,4.58,1,0.0292,5.24,1,0.2476,74.16,1,0.003,73.03,0,-0.004
82.88,1,0.0058,180.45,0,-0.023,28.25,1,0.0021,77.22,1,0.0023,36.6,0,-0.0022,45.94,1,0.0112,63.73,1,0.002,33.72,1,0.0063,65.44,1,0.0015,15.13,1,0.0141,41.48,0,-0.0005,104.04,1,0.0112,71.56,0,-0.0032,65.75,1,0.0008,28.31,1,0.0111,90.54,1,0.0061,12.33,1,0.0057,28.43,0,-0.0052,23.1,1,0.003,39.12,0,-0.0023,34.41,1,0.0053,4.63,1,0.0109,5.46,1,0.042,74.18,1,0.0003,72.98,0,-0.0007
83.59,1,0.0086,182.11,1,0.0092,27.94,0,-0.011,77.7,1,0.0062,36.72,1,0.0033,46.18,1,0.0052,64.08,1,0.0055,34.07,1,0.0104,65.11,0,-0.005,15.5,1,0.0245,41.4,0,-0.0019,104.78,1,0.0071,70.63,0,-0.013,65.83,1,0.0012,28.37,1,0.0021,90.37,0,-0.0019,12.34,1,0.0008,28.21,0,-0.0077,22.67,0,-0.0186,38.81,0,-0.0079,34.34,0,-0.002,4.51,0,-0.0259,5.62,1,0.0293,73.1,0,-0.0146,73.6,1,0.0085
